"id","gmoUS_pos","gmoUS_neg","gmoIncreaseYield_pos","gmoIncreaseYield_neg","Obama_pos","Obama_neg","Soros_pos","Soros_neg","911_pos","911_neg"
439,2,NA,NA,3,NA,3,1,NA,NA,1
440,5,NA,NA,4,3,NA,2,NA,NA,2
441,NA,3,3,NA,3,NA,3,NA,NA,3
442,NA,3,NA,1,NA,3,NA,3,NA,2
443,NA,3,NA,3,3,NA,NA,3,3,NA
444,NA,4,NA,4,3,NA,NA,4,NA,3
445,3,NA,NA,3,NA,3,3,NA,3,NA
446,3,NA,3,NA,3,NA,3,NA,NA,3
447,3,NA,3,NA,NA,3,NA,3,3,NA
448,NA,4,4,NA,NA,4,NA,3,NA,3
449,3,NA,3,NA,3,NA,3,NA,NA,3
450,3,NA,4,NA,NA,3,NA,3,3,NA
451,3,NA,3,NA,3,NA,NA,1,NA,1
452,3,NA,3,NA,NA,3,3,NA,NA,3
453,3,NA,NA,3,NA,3,NA,3,NA,3
454,3,NA,NA,3,NA,3,3,NA,NA,3
455,3,NA,NA,3,NA,3,NA,3,NA,3
456,3,NA,NA,3,NA,3,NA,3,3,NA
457,2,NA,2,NA,NA,3,NA,3,NA,2
458,NA,3,NA,4,NA,3,NA,3,NA,5
459,3,NA,3,NA,NA,3,NA,3,3,NA
460,NA,3,NA,3,3,NA,3,NA,3,NA
461,3,NA,NA,3,3,NA,NA,3,NA,3
462,NA,3,NA,3,NA,3,3,NA,3,NA
463,NA,4,4,NA,NA,4,NA,4,4,NA
464,4,NA,NA,4,NA,4,NA,4,NA,4
465,4,NA,NA,4,4,NA,NA,4,4,NA
466,NA,5,NA,4,3,NA,5,NA,1,NA
467,2,NA,NA,2,2,NA,NA,3,3,NA
468,NA,3,4,NA,3,NA,NA,2,5,NA
469,NA,2,NA,2,NA,3,NA,3,2,NA
470,2,NA,NA,2,NA,3,3,NA,2,NA
471,3,NA,3,NA,NA,3,NA,3,3,NA
472,NA,1,NA,4,NA,1,NA,2,1,NA
473,NA,3,3,NA,2,NA,3,NA,NA,3
474,3,NA,NA,3,NA,3,NA,3,3,NA
475,3,NA,3,NA,3,NA,3,NA,3,NA
476,2,NA,3,NA,3,NA,3,NA,2,NA
477,NA,3,3,NA,3,NA,3,NA,NA,3
478,NA,3,3,NA,3,NA,3,NA,NA,3
479,2,NA,2,NA,NA,2,NA,1,3,NA
480,3,NA,4,NA,NA,4,2,NA,NA,4
481,NA,3,NA,3,3,NA,NA,3,NA,3
482,3,NA,3,NA,NA,3,NA,3,3,NA
483,NA,3,3,NA,NA,3,NA,3,NA,3
484,3,NA,3,NA,NA,3,3,NA,NA,3
485,3,NA,2,NA,NA,3,NA,3,3,NA
486,3,NA,3,NA,NA,3,NA,3,NA,2
487,1,NA,3,NA,3,NA,3,NA,2,NA
488,NA,3,3,NA,3,NA,NA,3,NA,3
489,NA,3,4,NA,NA,3,NA,2,3,NA
490,3,NA,NA,3,NA,3,3,NA,NA,3
491,2,NA,2,NA,3,NA,NA,3,3,NA
492,3,NA,NA,3,3,NA,NA,3,3,NA
493,NA,2,NA,4,3,NA,2,NA,1,NA
494,NA,3,NA,3,NA,3,3,NA,3,NA
495,3,NA,NA,3,3,NA,3,NA,3,NA
496,3,NA,NA,3,3,NA,3,NA,3,NA
497,NA,4,3,NA,NA,4,4,NA,4,NA
498,3,NA,3,NA,NA,3,3,NA,3,NA
499,NA,3,4,NA,NA,3,NA,3,NA,2
